catch_ID,session_ID,session_date,session_year,session_month,session_day,island_code,subisland_code,site_code,lat,long,capture_date,capture_year,capture_month,capture_day,capture_hour,capture_min,release_date,species,ind_code,band_no,recapture,replaced,diet,BP,uncorr_mass,mass_tare,mass_corr,culmen,skull_length,tarsus,wing,tail,sex,measurers,flagged,notes
2014-08-21_SBI_AP_02,2014-08-21_SBI_AP,8/21/2014,2014,8,21,SBI,SBI,AP,33.487622,-119.028535,8/21/2014 23:16,2014,8,21,23,16,8/21/2014 23:26,ASSP,4501-37837,4501-37837,N,N,N,4,36,0,36,14.15,ND,20.9,141,ND,ND,"EWW, SMC, CAC",N,NA
2014-08-21_SBI_AP_03,2014-08-21_SBI_AP,8/21/2014,2014,8,21,SBI,SBI,AP,33.487622,-119.028535,8/21/2014 23:28,2014,8,21,23,28,8/21/2014 23:37,ASSP,4501-37838,4501-37838,N,N,N,2,37,0,37,14.1,ND,22.2,140,ND,ND,"EWW, SMC, CAC",N,NA
2014-08-21_SBI_AP_04,2014-08-21_SBI_AP,8/21/2014,2014,8,21,SBI,SBI,AP,33.487622,-119.028535,8/21/2014 23:35,2014,8,21,23,35,8/21/2014 23:43,ASSP,4501-37839,4501-37839,N,N,N,3,40,0,40,14.7,ND,21.7,140.2,ND,ND,"EWW, SMC, CAC",N,Primary coverts shed
2014-08-21_SBI_AP_05,2014-08-21_SBI_AP,8/21/2014,2014,8,21,SBI,SBI,AP,33.487622,-119.028535,8/21/2014 23:50,2014,8,21,23,50,8/21/2014 23:59,ASSP,4501-37841,4501-37841,N,N,N,2,34,0,34,13.8,ND,22.7,141,ND,ND,"EWW, SMC, CAC",N,NA
2014-08-21_SBI_AP_06,2014-08-21_SBI_AP,8/21/2014,2014,8,21,SBI,SBI,AP,33.487622,-119.028535,8/22/2014 0:14,2014,8,22,0,14,8/22/2014 0:25,ASSP,4501-37842,4501-37842,N,N,N,3,35,0,35,13.9,ND,20.5,143,ND,ND,"EWW, SMC, CAC",N,NA
2014-08-21_SBI_AP_07,2014-08-21_SBI_AP,8/21/2014,2014,8,21,SBI,SBI,AP,33.487622,-119.028535,8/22/2014 0:44,2014,8,22,0,44,8/22/2014 0:51,ASSP,4501-37843,4501-37843,N,N,N,5,32,0,32,14.6,ND,23.3,134,ND,ND,"EWW, SMC, CAC",N,NA
2014-08-21_SBI_AP_08,2014-08-21_SBI_AP,8/21/2014,2014,8,21,SBI,SBI,AP,33.487622,-119.028535,8/22/2014 1:32,2014,8,22,1,32,8/22/2014 1:38,ASSP,4501-37844,4501-37844,N,N,N,4,32,0,32,13.2,ND,19.3,138,ND,ND,"EWW, SMC, CAC",N,NA
2014-08-21_SBI_AP_09,2014-08-21_SBI_AP,8/21/2014,2014,8,21,SBI,SBI,AP,33.487622,-119.028535,8/22/2014 1:36,2014,8,22,1,36,8/22/2014 1:44,ASSP,4501-37845,4501-37845,N,N,N,3,34,0,34,13.3,ND,21,141,ND,ND,"EWW, SMC, CAC",N,NA
2014-08-21_SBI_AP_10,2014-08-21_SBI_AP,8/21/2014,2014,8,21,SBI,SBI,AP,33.487622,-119.028535,8/22/2014 1:41,2014,8,22,1,41,8/22/2014 1:51,ASSP,4501-37846,4501-37846,N,N,N,5,34,0,34,14.7,ND,19.8,138,ND,ND,"EWW, SMC, CAC",N,NA
2014-08-22_SBI_SRO_01,2014-08-22_SBI_SRO,8/22/2014,2014,8,22,SBI,SBI,SRO,33.484214,-119.034674,8/22/2014 23:44,2014,8,22,23,44,8/22/2014 23:55,ASSP,4501-37847,4501-37847,N,N,N,5,30,0,30,13.9,ND,19.8,132,ND,ND,"EWW, CAC, SMC",N,NA
